iter	Logloss
0	0.6726834929
1	0.6567157365
2	0.6429436794
3	0.6272483738
4	0.6153096673
5	0.603736824
6	0.5922241536
7	0.5841910106
8	0.5728616452
9	0.5584892666
10	0.5503229706
11	0.5439357791
12	0.5363393386
13	0.5301376345
14	0.5247757846
15	0.5169976162
16	0.5113742099
17	0.5057726227
18	0.5007667367
19	0.4947823114
20	0.4898761865
21	0.4850110866
22	0.4801725071
23	0.4767973778
24	0.4721290008
25	0.4679706386
26	0.463837285
27	0.459928536
28	0.4556698129
29	0.4514890337
30	0.4476929484
31	0.4424812335
32	0.4392826393
33	0.4362149094
34	0.4331102178
35	0.429794961
36	0.4265273937
37	0.4224204737
38	0.4194647298
39	0.4164724555
40	0.4134118234
41	0.4105188988
42	0.4077920794
43	0.4046686205
44	0.4018167122
45	0.3991702446
46	0.3963693282
47	0.3941252784
48	0.3918654005
49	0.3891236068
50	0.3866423359
51	0.3841555496
52	0.3821085925
53	0.3794011592
54	0.3771175193
55	0.3744843012
56	0.3722289278
57	0.3698485707
58	0.3674233292
59	0.3655203166
60	0.3632474039
61	0.3608980298
62	0.358992947
63	0.3568564742
64	0.3547619675
65	0.3527156417
66	0.3505805512
67	0.3487048369
68	0.3467942679
69	0.3444721488
70	0.342831185
71	0.3406994032
72	0.3390425746
73	0.337056803
74	0.3349025685
75	0.3328780531
76	0.3310941496
77	0.3292686701
78	0.3269888844
79	0.3248392422
80	0.3229346724
81	0.3210652833
82	0.3188396949
83	0.3168641386
84	0.315112568
85	0.3131111033
86	0.3108359411
87	0.309121847
88	0.3072233446
89	0.30523882
90	0.3031914439
91	0.3017513056
92	0.3001147688
93	0.2985771205
94	0.2968785602
95	0.2954791196
96	0.2935538865
97	0.2918958573
98	0.2904387336
99	0.288367664
