iter	Passed	Remaining
0	21	2177
1	30	1515
2	39	1264
3	47	1145
4	88	1685
5	106	1660
6	121	1615
7	126	1458
8	130	1314
9	132	1190
10	137	1113
11	140	1031
12	146	981
13	153	943
14	159	904
15	161	845
16	171	835
17	185	845
18	203	869
19	241	964
20	269	1013
21	280	993
22	293	981
23	305	968
24	318	954
25	323	921
26	336	910
27	349	899
28	357	874
29	372	868
30	385	858
31	396	843
32	405	822
33	418	811
34	429	797
35	433	771
36	444	757
37	459	749
38	467	731
39	482	723
40	490	706
41	495	684
42	502	666
43	511	651
44	518	633
45	525	616
46	528	595
47	535	580
48	544	567
49	556	556
50	564	541
51	575	531
52	590	523
53	601	512
54	618	505
55	627	492
56	639	482
57	651	471
58	662	460
59	704	469
60	727	465
61	733	449
62	737	433
63	740	416
64	748	403
65	753	388
66	756	372
67	772	363
68	782	351
69	803	344
70	841	343
71	850	330
72	854	315
73	860	302
74	877	292
75	882	278
76	885	264
77	889	250
78	895	238
79	898	224
80	901	211
81	904	198
82	907	185
83	911	173
84	914	161
85	917	149
86	920	137
87	925	126
88	929	114
89	931	103
90	933	92
91	938	81
92	943	71
93	947	60
94	951	50
95	954	39
96	957	29
97	960	19
98	962	9
99	965	0
