iter	RMSE
0	0.5999546778
1	0.5817353499
2	0.5640577201
3	0.5487892242
4	0.5344846658
5	0.5195205626
6	0.5057932671
7	0.4937115268
8	0.4821352924
9	0.4716519661
10	0.459099298
11	0.4467018304
12	0.4351687097
13	0.4248602273
14	0.4145019399
15	0.405890936
16	0.3979534764
17	0.3893688734
18	0.3804105651
19	0.3734126046
20	0.3666367103
21	0.3600291392
22	0.3542073064
23	0.348865264
24	0.3429932821
25	0.3370409213
26	0.3308578864
27	0.326344287
28	0.3211389378
29	0.3162182611
30	0.3115882221
31	0.3077048275
32	0.3037231888
33	0.3001743336
34	0.2970712694
35	0.2945328297
36	0.291481372
37	0.2886073947
38	0.2857647321
39	0.2831959012
40	0.2812831837
41	0.278908731
42	0.2758108773
43	0.2736051319
44	0.2715137606
45	0.2694944666
46	0.2676276197
47	0.2658617286
48	0.2641124222
49	0.2623251828
50	0.2603686002
51	0.2579532031
52	0.2564913766
53	0.2549734161
54	0.2530848511
55	0.2516555476
56	0.2499462143
57	0.2481365424
58	0.2467125348
59	0.2452240894
60	0.2442248608
61	0.2426385633
62	0.2412620799
63	0.2398758839
64	0.2386956435
65	0.2374503122
66	0.2361422256
67	0.2351978321
68	0.2341675678
69	0.2333516304
70	0.2323755667
71	0.2309127401
72	0.2298429018
73	0.22921834
74	0.2284801716
75	0.2278535881
76	0.2269229193
77	0.2264123866
78	0.2253194114
79	0.22463309
80	0.2238899848
81	0.2226848633
82	0.2218823595
83	0.2213853239
84	0.2204819948
85	0.2198267729
86	0.2189870856
87	0.2183221556
88	0.2173552026
89	0.2169421057
90	0.2163078058
91	0.2158094324
92	0.2152725237
93	0.2145062345
94	0.2137076621
95	0.2133079168
96	0.2126259235
97	0.2118311454
98	0.2109950655
99	0.2108783719
100	0.2103317928
101	0.2098711408
102	0.2094007548
103	0.2084969484
104	0.2077886086
105	0.2072070819
106	0.2064463363
107	0.2061571189
108	0.2056884882
109	0.2050018084
110	0.204523421
111	0.2041060006
112	0.203661811
113	0.203112052
114	0.2029385652
115	0.2024847969
116	0.2020581918
117	0.2013752345
118	0.2009204991
119	0.2001438918
120	0.1998245332
121	0.1988768219
122	0.1984813502
123	0.1982341468
124	0.1978363192
125	0.1974759029
126	0.1969804586
127	0.19665184
128	0.1960837543
129	0.1954921788
130	0.1952783989
