iter	Passed	Remaining
0	76	76567
1	81	40631
2	85	28418
3	89	22161
4	94	18776
5	98	16343
6	101	14468
7	105	13049
8	106	11781
9	110	10910
10	113	10160
11	115	9507
12	118	8986
13	121	8522
14	123	8095
15	125	7708
16	128	7403
17	130	7109
18	133	6880
19	136	6665
20	138	6463
21	142	6319
22	144	6143
23	146	5955
24	148	5803
25	150	5655
26	153	5518
27	154	5368
28	157	5279
29	162	5245
30	165	5161
31	169	5139
32	171	5023
33	178	5059
34	181	4993
35	184	4951
36	187	4870
37	192	4878
38	195	4815
39	199	4799
40	201	4706
41	206	4717
42	209	4667
43	214	4663
44	217	4618
45	222	4624
46	225	4573
47	228	4540
48	231	4502
49	234	4455
50	240	4470
51	242	4417
52	246	4412
53	249	4374
54	254	4377
55	256	4327
56	260	4317
57	264	4291
58	265	4237
59	272	4269
60	276	4258
61	279	4231
62	303	4514
63	308	4517
64	312	4494
65	315	4470
66	322	4490
67	325	4456
68	329	4444
69	331	4403
70	339	4445
71	352	4549
72	358	4547
73	361	4523
74	364	4495
75	367	4466
76	370	4443
77	373	4415
78	376	4391
79	379	4359
80	381	4333
81	385	4311
82	387	4281
83	390	4253
84	392	4228
85	395	4203
86	398	4181
87	402	4171
88	404	4145
89	408	4127
90	410	4105
91	413	4077
92	415	4051
93	418	4029
94	420	4006
95	423	3986
96	425	3965
97	428	3942
98	431	3929
99	433	3898
100	435	3874
101	437	3850
102	439	3830
103	442	3811
104	444	3791
105	448	3779
106	451	3764
107	453	3746
108	456	3731
109	458	3712
110	461	3694
111	464	3682
112	466	3662
113	469	3647
114	472	3634
115	474	3617
116	477	3603
117	480	3591
118	482	3574
119	485	3557
120	488	3550
121	491	3535
122	493	3519
123	497	3517
124	499	3499
125	502	3486
126	505	3473
127	507	3460
128	510	3447
129	513	3435
130	516	3423
131	518	3409
132	520	3395
133	523	3382
134	525	3368
135	528	3358
136	531	3348
137	533	3333
138	536	3326
139	539	3313
140	541	3299
141	545	3293
142	547	3282
143	550	3271
144	553	3261
145	555	3247
146	557	3235
147	561	3229
148	563	3221
149	566	3210
150	569	3202
151	573	3197
152	575	3187
153	581	3195
154	592	3227
155	596	3227
156	601	3227
157	607	3238
158	610	3228
159	613	3221
160	628	3273
161	631	3267
162	636	3267
163	644	3285
164	647	3275
165	650	3270
166	654	3263
167	662	3280
168	664	3268
169	668	3262
170	671	3254
171	681	3280
172	685	3277
173	695	3302
174	700	3300
175	703	3295
176	715	3324
177	719	3324
178	731	3353
179	734	3343
180	743	3363
181	747	3358
182	752	3359
183	764	3388
184	768	3386
185	779	3409
186	782	3401
187	793	3428
188	796	3418
189	801	3417
190	806	3417
191	810	3409
192	822	3437
193	824	3427
194	830	3427
195	840	3446
196	843	3439
197	854	3461
198	857	3449
199	860	3443
200	869	3455
201	874	3454
202	878	3449
203	887	3464
204	891	3457
205	895	3451
206	904	3466
207	910	3465
208	918	3475
209	922	3470
210	927	3467
211	937	3483
212	941	3479
213	944	3469
214	948	3464
215	953	3459
216	957	3455
217	959	3443
218	966	3446
219	969	3435
220	971	3424
221	974	3413
222	976	3401
223	979	3394
224	983	3386
225	985	3375
226	988	3367
227	991	3357
228	998	3361
229	1001	3352
230	1004	3343
231	1006	3332
232	1009	3324
233	1013	3317
234	1015	3305
235	1017	3294
236	1020	3285
237	1022	3273
238	1024	3262
239	1027	3253
240	1030	3244
241	1032	3234
242	1035	3224
243	1037	3214
244	1039	3203
245	1041	3193
246	1044	3184
247	1046	3174
248	1049	3164
249	1051	3154
250	1053	3145
251	1056	3134
252	1057	3122
253	1063	3122
254	1068	3121
255	1078	3133
256	1080	3125
257	1085	3122
258	1168	3343
259	1185	3374
260	1204	3409
261	1212	3415
262	1247	3496
263	1273	3550
264	1290	3579
265	1315	3630
266	1327	3643
267	1344	3671
268	1364	3707
269	1381	3736
270	1388	3734
271	1393	3730
272	1402	3735
273	1407	3728
274	1414	3729
275	1419	3723
276	1422	3712
277	1426	3705
278	1430	3696
279	1433	3685
280	1436	3674
281	1439	3665
282	1442	3653
283	1444	3641
284	1447	3632
285	1449	3619
286	1452	3609
287	1456	3600
288	1459	3589
289	1462	3579
290	1467	3574
291	1469	3564
292	1473	3556
293	1476	3544
294	1481	3540
295	1483	3529
296	1486	3518
297	1489	3508
298	1491	3496
299	1495	3488
300	1497	3477
301	1499	3465
302	1502	3455
303	1504	3445
304	1507	3434
305	1509	3423
306	1512	3413
307	1514	3401
308	1516	3391
309	1519	3381
310	1521	3371
311	1523	3359
312	1525	3349
313	1528	3338
314	1530	3328
315	1532	3316
316	1534	3305
317	1537	3296
318	1539	3285
319	1541	3275
320	1544	3266
321	1546	3257
322	1548	3246
323	1551	3237
324	1554	3228
325	1556	3217
326	1559	3209
327	1562	3200
328	1564	3190
329	1566	3180
330	1569	3172
331	1572	3163
332	1574	3152
333	1576	3143
334	1579	3134
335	1580	3124
336	1583	3115
337	1585	3105
338	1587	3095
339	1591	3089
340	1593	3079
341	1595	3070
342	1598	3062
343	1601	3053
344	1603	3044
345	1606	3036
346	1609	3027
347	1611	3019
348	1613	3009
349	1616	3002
350	1618	2993
351	1621	2984
352	1624	2977
353	1627	2969
354	1629	2960
355	1632	2953
356	1634	2943
357	1636	2934
358	1639	2927
359	1641	2918
360	1643	2909
361	1645	2900
362	1648	2892
363	1650	2884
364	1652	2875
365	1657	2871
366	1659	2862
367	1661	2854
368	1665	2847
369	1667	2839
370	1669	2830
371	1673	2825
372	1677	2819
373	1680	2812
374	1683	2806
375	1685	2797
376	1691	2794
377	1692	2785
378	1696	2778
379	1699	2772
380	1701	2764
381	1704	2756
382	1706	2749
383	1708	2741
384	1711	2734
385	1714	2726
386	1716	2718
387	1718	2710
388	1721	2703
389	1723	2695
390	1725	2687
391	1727	2679
392	1730	2673
393	1733	2666
394	1736	2659
395	1738	2651
396	1740	2643
397	1742	2636
398	1745	2628
399	1747	2621
400	1750	2614
401	1755	2610
402	1757	2602
403	1759	2595
404	1762	2589
405	1764	2582
406	1767	2574
407	1770	2568
408	1772	2561
409	1774	2553
410	1776	2546
411	1779	2539
412	1781	2532
413	1784	2525
414	1786	2518
415	1788	2510
416	1790	2502
417	1793	2496
418	1795	2489
419	1797	2482
420	1800	2476
421	1803	2469
422	1805	2463
423	1808	2456
424	1810	2449
425	1812	2442
426	1815	2435
427	1817	2428
428	1819	2422
429	1821	2414
430	1824	2408
431	1826	2400
432	1828	2393
433	1830	2387
434	1833	2381
435	1836	2375
436	1838	2368
437	1841	2362
438	1843	2355
439	1846	2349
440	1849	2344
441	1852	2338
442	1854	2331
443	1856	2325
444	1859	2319
445	1862	2313
446	1864	2307
447	1867	2300
448	1869	2294
449	1872	2288
450	1874	2282
451	1877	2276
452	1880	2270
453	1882	2263
454	1884	2257
455	1886	2251
456	1889	2245
457	1892	2239
458	1894	2232
459	1897	2227
460	1899	2220
461	1901	2214
462	1903	2207
463	1906	2201
464	1908	2195
465	1911	2189
466	1913	2184
467	1915	2178
468	1918	2171
469	1921	2166
470	1923	2160
471	1926	2155
472	1929	2149
473	1931	2143
474	1933	2137
475	1936	2132
476	1939	2126
477	1941	2120
478	1944	2115
479	1949	2111
480	1951	2105
481	1954	2100
482	1963	2102
483	1965	2095
484	1968	2090
485	1971	2085
486	1974	2079
487	1980	2077
488	1982	2072
489	1985	2066
490	1988	2061
491	1990	2055
492	1993	2050
493	1996	2045
494	1999	2039
495	2002	2034
496	2004	2028
497	2007	2023
498	2009	2017
499	2011	2011
500	2014	2006
501	2017	2001
502	2019	1995
503	2022	1990
504	2024	1984
505	2027	1979
506	2029	1973
507	2031	1967
508	2034	1962
509	2037	1957
510	2039	1951
511	2042	1947
512	2045	1941
513	2047	1936
514	2050	1931
515	2052	1925
516	2054	1919
517	2057	1914
518	2061	1910
519	2063	1904
520	2066	1900
521	2069	1895
522	2071	1889
523	2074	1884
524	2077	1879
525	2079	1873
526	2081	1868
527	2084	1863
528	2086	1857
529	2088	1851
530	2091	1846
531	2093	1841
532	2095	1835
533	2098	1831
534	2101	1826
535	2103	1821
536	2106	1816
537	2108	1810
538	2111	1805
539	2113	1800
540	2116	1795
541	2118	1790
542	2121	1785
543	2123	1780
544	2126	1775
545	2128	1770
546	2131	1764
547	2133	1759
548	2135	1754
549	2138	1749
550	2141	1744
551	2144	1740
552	2147	1735
553	2149	1730
554	2152	1725
555	2156	1722
556	2158	1716
557	2161	1712
558	2164	1707
559	2166	1702
560	2169	1697
561	2171	1692
562	2174	1687
563	2176	1682
564	2179	1677
565	2181	1672
566	2183	1667
567	2185	1662
568	2187	1657
569	2189	1651
570	2192	1646
571	2194	1642
572	2196	1636
573	2199	1632
574	2201	1627
575	2203	1622
576	2206	1617
577	2208	1612
578	2211	1608
579	2213	1602
580	2215	1597
581	2218	1593
582	2220	1588
583	2222	1583
584	2225	1578
585	2228	1574
586	2230	1569
587	2232	1564
588	2235	1560
589	2237	1555
590	2240	1550
591	2243	1545
592	2245	1541
593	2248	1536
594	2252	1533
595	2255	1528
596	2257	1523
597	2259	1519
598	2262	1514
599	2264	1509
600	2267	1505
601	2269	1500
602	2271	1495
603	2274	1491
604	2276	1486
605	2279	1482
606	2282	1477
607	2284	1472
608	2286	1468
609	2288	1463
610	2291	1458
611	2293	1454
612	2295	1449
613	2298	1445
614	2301	1440
615	2303	1435
616	2305	1431
617	2308	1426
618	2310	1422
619	2313	1417
620	2316	1413
621	2318	1409
622	2320	1404
623	2323	1399
624	2325	1395
625	2327	1390
626	2329	1386
627	2331	1381
628	2334	1376
629	2336	1372
630	2339	1368
631	2341	1363
632	2343	1358
633	2347	1355
634	2351	1351
635	2353	1346
636	2356	1342
637	2358	1338
638	2362	1334
639	2364	1330
640	2367	1325
641	2369	1321
642	2372	1317
643	2374	1312
644	2377	1308
645	2380	1304
646	2382	1299
647	2384	1295
648	2387	1291
649	2390	1287
650	2392	1282
651	2396	1278
652	2398	1274
653	2400	1270
654	2403	1266
655	2406	1261
656	2409	1257
657	2412	1253
658	2414	1249
659	2417	1245
660	2420	1241
661	2422	1236
662	2424	1232
663	2427	1228
664	2430	1224
665	2433	1220
666	2435	1215
667	2437	1211
668	2440	1207
669	2442	1202
670	2446	1199
671	2448	1195
672	2451	1191
673	2454	1187
674	2456	1182
675	2459	1178
676	2461	1174
677	2464	1170
678	2466	1166
679	2470	1162
680	2472	1158
681	2479	1156
682	2481	1151
683	2484	1147
684	2487	1143
685	2489	1139
686	2495	1136
687	2497	1132
688	2500	1128
689	2503	1124
690	2505	1120
691	2509	1116
692	2511	1112
693	2514	1108
694	2516	1104
695	2518	1100
696	2521	1095
697	2524	1092
698	2527	1088
699	2529	1083
700	2532	1080
701	2534	1076
702	2537	1071
703	2540	1068
704	2546	1065
705	2550	1061
706	2552	1057
707	2556	1054
708	2558	1049
709	2560	1045
710	2562	1041
711	2565	1037
712	2567	1033
713	2570	1029
714	2573	1025
715	2575	1021
716	2578	1017
717	2581	1013
718	2583	1009
719	2585	1005
720	2588	1001
721	2590	997
722	2593	993
723	2596	989
724	2598	985
725	2601	981
726	2604	978
727	2607	974
728	2609	970
729	2612	966
730	2615	962
731	2617	958
732	2620	954
733	2622	950
734	2624	946
735	2627	942
736	2629	938
737	2631	934
738	2634	930
739	2637	926
740	2640	923
741	2642	918
742	2646	915
743	2648	911
744	2650	907
745	2653	903
746	2656	899
747	2658	895
748	2660	891
749	2663	887
750	2665	883
751	2667	879
752	2670	876
753	2673	872
754	2675	868
755	2678	864
756	2680	860
757	2682	856
758	2685	852
759	2688	848
760	2690	845
761	2693	841
762	2696	837
763	2698	833
764	2701	829
765	2703	825
766	2706	822
767	2708	818
768	2711	814
769	2713	810
770	2715	806
771	2718	802
772	2721	799
773	2724	795
774	2727	791
775	2729	787
776	2731	783
777	2735	780
778	2738	776
779	2740	772
780	2743	769
781	2746	765
782	2748	761
783	2750	757
784	2753	754
785	2755	750
786	2758	746
787	2760	742
788	2763	738
789	2766	735
790	2768	731
791	2771	727
792	2773	724
793	2775	720
794	2778	716
795	2781	712
796	2783	708
797	2785	705
798	2787	701
799	2789	697
800	2792	693
801	2795	690
802	2798	686
803	2800	682
804	2803	679
805	2805	675
806	2808	671
807	2810	667
808	2813	664
809	2816	660
810	2818	656
811	2821	653
812	2824	649
813	2826	645
814	2828	642
815	2833	638
816	2835	635
817	2839	631
818	2841	628
819	2844	624
820	2847	620
821	2849	617
822	2851	613
823	2853	609
824	2856	605
825	2858	602
826	2860	598
827	2863	594
828	2871	592
829	2875	588
830	2879	585
831	2884	582
832	2889	579
833	2893	575
834	2896	572
835	2900	568
836	2903	565
837	2906	561
838	2908	558
839	2912	554
840	2914	551
841	2917	547
842	2920	543
843	2922	540
844	2925	536
845	2929	533
846	2931	529
847	2934	525
848	2937	522
849	2939	518
850	2942	515
851	2944	511
852	2946	507
853	2949	504
854	2952	500
855	2954	497
856	2956	493
857	2959	489
858	2962	486
859	2964	482
860	2967	479
861	2969	475
862	2971	471
863	2973	468
864	2976	464
865	2979	460
866	2981	457
867	2985	453
868	2987	450
869	2990	446
870	2993	443
871	2996	439
872	2998	436
873	3005	433
874	3010	430
875	3013	426
876	3016	423
877	3019	419
878	3022	416
879	3026	412
880	3028	409
881	3031	405
882	3034	402
883	3036	398
884	3039	395
